id,consume_date,consume_type,money,pay_method,remark
1,2026-01-02,餐饮外卖,24.50,微信支付,午餐快餐
2,2026-01-02,生活用品,36.80,支付宝,洗衣液纸巾
3,2026-01-03,交通出行,8.00,微信支付,地铁通勤
4,2026-01-03,奶茶饮品,15.90,支付宝,果茶外卖
5,2026-01-04,餐饮外卖,32.60,微信支付,晚餐烧烤
6,2026-01-04,服饰穿搭,199.00,银行卡,卫衣采购
7,2026-01-05,医疗健康,56.30,支付宝,感冒药
8,2026-01-05,娱乐休闲,45.00,微信支付,短视频会员
9,2026-01-06,交通出行,12.50,支付宝,打车回家
10,2026-01-06,餐饮外卖,18.70,微信支付,早餐包子豆浆
11,2026-01-07,零食小吃,22.30,支付宝,超市零食
12,2026-01-07,数码配件,79.90,微信支付,手机数据线
13,2026-01-08,餐饮外卖,27.20,支付宝,麻辣烫
14,2026-01-08,房租水电,450.00,银行卡,当月电费分摊
15,2026-01-09,交通出行,6.00,微信支付,公交
16,2026-01-09,护肤美妆,128.50,支付宝,面膜护肤品
17,2026-01-10,餐饮外卖,35.10,微信支付,火锅单人餐
18,2026-01-10,娱乐休闲,88.00,支付宝,电影院观影
19,2026-01-11,生活用品,29.70,微信支付,垃圾袋洗漱用品
20,2026-01-11,奶茶饮品,12.80,支付宝,线下奶茶店
21,2026-01-12,餐饮外卖,21.90,微信支付,盖浇饭
22,2026-01-12,交通出行,15.30,银行卡,跨城拼车
23,2026-01-13,医疗健康,23.60,支付宝,口腔溃疡药
24,2026-01-13,服饰穿搭,89.00,微信支付,袜子内衣
25,2026-01-14,餐饮外卖,42.80,支付宝,小龙虾外卖
26,2026-01-14,房租水电,1200.00,银行卡,月度房租
27,2026-01-15,零食小吃,31.50,微信支付,膨化食品饮料
28,2026-01-15,数码配件,49.90,支付宝,蓝牙耳机保护套
29,2026-01-16,餐饮外卖,19.60,微信支付,饺子外卖
30,2026-01-16,娱乐休闲,25.00,支付宝,线上桌游充值
31,2026-01-17,交通出行,9.20,微信支付,夜间打车
32,2026-01-17,护肤美妆,69.90,支付宝,护手霜润唇膏
33,2026-01-18,餐饮外卖,28.40,微信支付,黄焖鸡米饭
34,2026-01-18,生活用品,45.20,银行卡,拖把清洁工具
35,2026-01-19,奶茶饮品,18.20,支付宝,冬季热饮
36,2026-01-19,餐饮外卖,33.70,微信支付,螺蛳粉外卖
37,2026-01-20,交通出行,7.50,支付宝,共享单车月卡
38,2026-01-20,服饰穿搭,269.00,微信支付,冬季棉服
39,2026-01-21,医疗健康,89.40,支付宝,肠胃调理药品
40,2026-01-21,娱乐休闲,30.00,微信支付,网盘会员续费
41,2026-01-22,餐饮外卖,25.80,支付宝,炸鸡套餐
42,2026-01-22,房租水电,135.60,银行卡,燃气费缴纳
43,2026-01-23,零食小吃,17.90,微信支付,饼干巧克力
44,2026-01-23,数码配件,35.50,支付宝,手机钢化膜
45,2026-01-24,餐饮外卖,22.10,微信支付,炒饭炒面
46,2026-01-24,生活用品,32.80,支付宝,牙刷牙膏毛巾
47,2026-01-25,交通出行,11.60,微信支付,雨天打车
48,2026-01-25,护肤美妆,215.00,银行卡,粉底液彩妆
49,2026-01-26,餐饮外卖,39.30,支付宝,烤肉拌饭套餐
50,2026-01-26,娱乐休闲,59.00,微信支付,游戏皮肤充值
51,2026-01-27,奶茶饮品,14.50,支付宝,咖啡外卖
52,2026-01-27,餐饮外卖,27.70,微信支付,牛肉面外卖
53,2026-01-28,交通出行,5.50,支付宝,单程公交
54,2026-01-28,服饰穿搭,159.00,微信支付,休闲长裤
55,2026-01-29,医疗健康,18.90,支付宝,维生素片
56,2026-01-29,生活用品,26.40,银行卡,收纳盒整理箱
57,2026-01-30,餐饮外卖,31.20,微信支付,麻辣香锅
58,2026-01-30,娱乐休闲,42.00,支付宝,音乐会员年费拆分
59,2026-01-31,零食小吃,28.60,微信支付,坚果礼盒小份
60,2026-01-31,房租水电,86.20,支付宝,网费宽带缴费
